,Category,sub1,sub2,Role,Exp,Range,Display Role
52,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,50 - 150,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
53,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,12 - 25,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
54,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,30 - 45,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
55,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,45 - 60,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
56,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,60 - 95,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
57,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,08 - 20,Sales in Consumer Goods (FMCG)
58,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,12 - 30,Sales in Consumer Goods (FMCG)
59,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,25 - 60,Sales in Consumer Goods (FMCG)
60,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,50 - 150,Sales in Consumer Goods (FMCG)
61,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,12 - 22,Marketing in Consumer Goods (FMCG)
62,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,22 - 34,Marketing in Consumer Goods (FMCG)
