,Category,sub1,sub2,Role,Exp,Range,Display Role
34,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,08 - 15,Marketing in Consumer Goods (FMCG)-Pharmaceuticals
35,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,15 - 25,Marketing in Consumer Goods (FMCG)-Pharmaceuticals
36,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,20 - 60,Marketing in Consumer Goods (FMCG)-Pharmaceuticals
37,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,05 - 12,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Pharmaceuticals
38,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,10 - 22,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Pharmaceuticals
39,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,22 - 40,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Pharmaceuticals
40,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,35 - 50,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Pharmaceuticals
41,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,06 - 15,Communications & CSR in Consumer Goods (FMCG)-Pharmaceuticals
42,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,12 - 28,Communications & CSR in Consumer Goods (FMCG)-Pharmaceuticals
43,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,25 - 45,Communications & CSR in Consumer Goods (FMCG)-Pharmaceuticals
44,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Communications_and_CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,30 - 60,Communications & CSR in Consumer Goods (FMCG)-Pharmaceuticals
45,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,08 - 18,Medical Affairs in Consumer Goods (FMCG)-Pharmaceuticals
46,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,12 - 40,Medical Affairs in Consumer Goods (FMCG)-Pharmaceuticals
47,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,30 - 60,Medical Affairs in Consumer Goods (FMCG)-Pharmaceuticals
48,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Medical_Affairs_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,50 - 120,Medical Affairs in Consumer Goods (FMCG)-Pharmaceuticals
49,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,12 - 25,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
50,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,18 - 40,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
51,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,35 - 60,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
52,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,50 - 150,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
53,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,12 - 25,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
54,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,30 - 45,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
55,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,45 - 60,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
56,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,60 - 95,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)-Medical Devices
57,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,08 - 20,Sales in Consumer Goods (FMCG)-Medical Devices
58,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,12 - 30,Sales in Consumer Goods (FMCG)-Medical Devices
59,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,25 - 60,Sales in Consumer Goods (FMCG)-Medical Devices
60,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,50 - 150,Sales in Consumer Goods (FMCG)-Medical Devices
61,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,12 - 22,Marketing in Consumer Goods (FMCG)-Medical Devices
62,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,22 - 34,Marketing in Consumer Goods (FMCG)-Medical Devices
63,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,35 - 45,Marketing in Consumer Goods (FMCG)-Medical Devices
64,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,45 - 85,Marketing in Consumer Goods (FMCG)-Medical Devices
65,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,10 - 15,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Medical Devices
66,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,12 - 22,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Medical Devices
67,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,22 - 40,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Medical Devices
68,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,35 - 50,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)-Medical Devices
69,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,06 - 10,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)-Medical Devices
70,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,08 - 20,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)-Medical Devices
71,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,15 - 30,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)-Medical Devices
72,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,25 - 60,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)-Medical Devices
73,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,18 - 28,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)-FMCD
74,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,30 - 70,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)-FMCD
75,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,55 - 85,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)-FMCD
76,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,15 - 22 years,80 - 180,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)-FMCD
77,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,22+ years,120 - 220,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)-FMCD
78,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,10 - 24,Sales / Channel Management in Consumer Goods (FMCG)-FMCD
79,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,20 - 50,Sales / Channel Management in Consumer Goods (FMCG)-FMCD
80,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,30 - 80,Sales / Channel Management in Consumer Goods (FMCG)-FMCD
81,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,15 - 22 years,60 - 120,Sales / Channel Management in Consumer Goods (FMCG)-FMCD
82,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,22+ years,70 - 180,Sales / Channel Management in Consumer Goods (FMCG)-FMCD
83,Sales & Marketing,Consumer Goods (FMCG),FMCD,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,16 - 24,E-commerce in Consumer Goods (FMCG)-FMCD
84,Sales & Marketing,Consumer Goods (FMCG),FMCD,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,30 - 60,E-commerce in Consumer Goods (FMCG)-FMCD
85,Sales & Marketing,Consumer Goods (FMCG),FMCD,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,50 - 100,E-commerce in Consumer Goods (FMCG)-FMCD
86,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,18 - 28,Brand / Category Management in Consumer Goods (FMCG)-FMCD
87,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,20 - 50,Brand / Category Management in Consumer Goods (FMCG)-FMCD
88,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,40 - 80,Brand / Category Management in Consumer Goods (FMCG)-FMCD
89,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,15 - 22 years,70 - 120,Brand / Category Management in Consumer Goods (FMCG)-FMCD
90,Sales & Marketing,Consumer Goods (FMCG),FMCD,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,16 - 24,Digital Marketing in Consumer Goods (FMCG)-FMCD
91,Sales & Marketing,Consumer Goods (FMCG),FMCD,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,30 - 60,Digital Marketing in Consumer Goods (FMCG)-FMCD
92,Sales & Marketing,Consumer Goods (FMCG),FMCD,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,50 - 100,Digital Marketing in Consumer Goods (FMCG)-FMCD
93,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,3 - 5 years,12 - 24,Sales / Operations in Consumer Goods (FMCG)-Retail
94,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,5 - 10 years,20 - 50,Sales / Operations in Consumer Goods (FMCG)-Retail
95,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,10 - 15 years,30 - 80,Sales / Operations in Consumer Goods (FMCG)-Retail
96,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,15 - 22 years,60 - 140,Sales / Operations in Consumer Goods (FMCG)-Retail
97,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,22+ years,100 - 150,Sales / Operations in Consumer Goods (FMCG)-Retail
98,Sales & Marketing,Consumer Goods (FMCG),Retail,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,3 - 5 years,16 - 24,E-commerce in Consumer Goods (FMCG)-Retail
99,Sales & Marketing,Consumer Goods (FMCG),Retail,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,5 - 10 years,30 - 60,E-commerce in Consumer Goods (FMCG)-Retail
100,Sales & Marketing,Consumer Goods (FMCG),Retail,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,10 - 15 years,50 - 100,E-commerce in Consumer Goods (FMCG)-Retail
101,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,3 - 5 years,18 - 28,Category Management in Consumer Goods (FMCG)-Retail
102,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,5 - 10 years,20 - 50,Category Management in Consumer Goods (FMCG)-Retail
103,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,10 - 15 years,40 - 80,Category Management in Consumer Goods (FMCG)-Retail
104,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,15 - 22 years,70 - 120,Category Management in Consumer Goods (FMCG)-Retail
