,Category,sub1,sub2,Role,Exp,Range,Display Role
57,Human Resources,Commerce & Industry,Small-Capital Companies / Non-Listed Organisations,HR_Consulting_Commerce_and_Industry_Small-Capital_Companies___Non-Listed_Organisations,15+ years,50 - 80,HR Consulting in Commerce & Industry-Small-Capital Companies / Non-Listed Organisations
58,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Large_Companies)_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,150 - 350,Head of Human Resources (Large Companies) in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
59,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,55 - 70,Head of Human Resources (Small & Medium-Sized Companies) in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
60,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,70 - 120,Head of Human Resources (Small & Medium-Sized Companies) in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
61,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,HR_Generalist___Business_Partner_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,25 - 40,HR Generalist / Business Partner in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
62,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,HR_Generalist___Business_Partner_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,40 - 60,HR Generalist / Business Partner in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
63,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,HR_Generalist___Business_Partner_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,60 - 100,HR Generalist / Business Partner in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
64,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Learning_and_Development_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,25 - 35,Learning & Development in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
65,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Learning_and_Development_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,35 - 45,Learning & Development in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
66,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Learning_and_Development_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,45 - 80,Learning & Development in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
67,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Compensation_and_Benefits_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,30 - 50,Compensation & Benefits in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
68,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Compensation_and_Benefits_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,45 - 75,Compensation & Benefits in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
69,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Compensation_and_Benefits_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,60 - 120,Compensation & Benefits in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
70,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Employee_Relations_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,25 - 45,Employee Relations in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
71,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Employee_Relations_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,45 - 80,Employee Relations in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
72,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Employee_Relations_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,80 - 110,Employee Relations in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
73,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Talent_Acquisition_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,20 - 30,Talent Acquisition in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
74,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Talent_Acquisition_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,35 - 55,Talent Acquisition in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
75,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,Talent_Acquisition_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,50 - 115,Talent Acquisition in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
76,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,HR_Operations___Payroll___HRIS_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,18 - 25,HR Operations / Payroll / HRIS in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
77,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,HR_Operations___Payroll___HRIS_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,30 - 40,HR Operations / Payroll / HRIS in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
78,Human Resources,Banking & Financial Services,Large & Middle-Capital Companies / Listed Organisations,HR_Operations___Payroll___HRIS_Banking_and_Financial_Services_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,45 - 70,HR Operations / Payroll / HRIS in Banking & Financial Services-Large & Middle-Capital Companies / Listed Organisations
79,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Large_Companies)_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,15+ years,60 - 100,Head of Human Resources (Large Companies) in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
80,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,30 - 50,Head of Human Resources (Small & Medium-Sized Companies) in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
81,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,15+ years,50 - 75,Head of Human Resources (Small & Medium-Sized Companies) in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
