,Category,sub1,Role,Exp,Range,Display Role
49,Procurement & Supply Chain,Captives / Shared Services,Procurement_Manager_Captives___Shared_Services,10 - 15 years,30 - 50,Procurement Manager in Captives / Shared Services
50,Procurement & Supply Chain,Captives / Shared Services,Procurement_Manager_Captives___Shared_Services,15+ years,40 - 60,Procurement Manager in Captives / Shared Services
51,Procurement & Supply Chain,Captives / Shared Services,Customer_Service_Captives___Shared_Services,5 - 10 years,20 - 40,Customer Service in Captives / Shared Services
52,Procurement & Supply Chain,Captives / Shared Services,Customer_Service_Captives___Shared_Services,10 - 15 years,30 - 50,Customer Service in Captives / Shared Services
53,Procurement & Supply Chain,Captives / Shared Services,Customer_Service_Captives___Shared_Services,15+ years,60 - 80,Customer Service in Captives / Shared Services
54,Procurement & Supply Chain,Captives / Shared Services,Back-end_Operations_Captives___Shared_Services,5 - 10 years,20 - 40,Back-end Operations in Captives / Shared Services
55,Procurement & Supply Chain,Captives / Shared Services,Back-end_Operations_Captives___Shared_Services,10 - 15 years,30 - 50,Back-end Operations in Captives / Shared Services
56,Procurement & Supply Chain,Captives / Shared Services,Back-end_Operations_Captives___Shared_Services,15+ years,60 - 80,Back-end Operations in Captives / Shared Services
57,Procurement & Supply Chain,Captives / Shared Services,Vendor___Supplier_Relationship_Manager_Captives___Shared_Services,3 - 5 years,16 - 20,Vendor / Supplier Relationship Manager in Captives / Shared Services
58,Procurement & Supply Chain,Captives / Shared Services,Vendor___Supplier_Relationship_Manager_Captives___Shared_Services,5 - 10 years,20 - 40,Vendor / Supplier Relationship Manager in Captives / Shared Services
59,Procurement & Supply Chain,Captives / Shared Services,Vendor___Supplier_Relationship_Manager_Captives___Shared_Services,10 - 15 years,30 - 50,Vendor / Supplier Relationship Manager in Captives / Shared Services
60,Procurement & Supply Chain,Captives / Shared Services,Vendor___Supplier_Relationship_Manager_Captives___Shared_Services,15+ years,40 - 60,Vendor / Supplier Relationship Manager in Captives / Shared Services
61,Procurement & Supply Chain,Captives / Shared Services,Strategic_Sourcing_Leader___Manager_Captives___Shared_Services,3 - 5 years,16 - 20,Strategic Sourcing Leader / Manager in Captives / Shared Services
62,Procurement & Supply Chain,Captives / Shared Services,Strategic_Sourcing_Leader___Manager_Captives___Shared_Services,5 - 10 years,20 - 40,Strategic Sourcing Leader / Manager in Captives / Shared Services
63,Procurement & Supply Chain,Captives / Shared Services,Strategic_Sourcing_Leader___Manager_Captives___Shared_Services,10 - 15 years,30 - 50,Strategic Sourcing Leader / Manager in Captives / Shared Services
64,Procurement & Supply Chain,Captives / Shared Services,Strategic_Sourcing_Leader___Manager_Captives___Shared_Services,15+ years,40 - 60,Strategic Sourcing Leader / Manager in Captives / Shared Services
65,Procurement & Supply Chain,Captives / Shared Services,Category___Commodity_Manager_Captives___Shared_Services,3 - 5 years,16 - 20,Category / Commodity Manager in Captives / Shared Services
66,Procurement & Supply Chain,Captives / Shared Services,Category___Commodity_Manager_Captives___Shared_Services,5 - 10 years,20 - 40,Category / Commodity Manager in Captives / Shared Services
67,Procurement & Supply Chain,Captives / Shared Services,Category___Commodity_Manager_Captives___Shared_Services,10 - 15 years,30 - 50,Category / Commodity Manager in Captives / Shared Services
68,Procurement & Supply Chain,Captives / Shared Services,Category___Commodity_Manager_Captives___Shared_Services,15+ years,40 - 60,Category / Commodity Manager in Captives / Shared Services
69,Procurement & Supply Chain,Captives / Shared Services,GM___Head_of_Procurement_Captives___Shared_Services,10 - 15 years,50 - 70,GM / Head of Procurement in Captives / Shared Services
70,Procurement & Supply Chain,Captives / Shared Services,GM___Head_of_Procurement_Captives___Shared_Services,15+ years,60 - 100,GM / Head of Procurement in Captives / Shared Services
71,Procurement & Supply Chain,Captives / Shared Services,CPO___Director_P2P_Captives___Shared_Services,10 - 15 years,50 - 70,CPO / Director P2P in Captives / Shared Services
72,Procurement & Supply Chain,Captives / Shared Services,CPO___Director_P2P_Captives___Shared_Services,15+ years,60 - 100,CPO / Director P2P in Captives / Shared Services
73,Procurement & Supply Chain,Industrial B2B Practices,Supply_Chain_Industrial_B2B_Practices,10 - 15 years,60 - 90,Supply Chain in Industrial B2B Practices
74,Procurement & Supply Chain,Industrial B2B Practices,Supply_Chain_Industrial_B2B_Practices,15+ years,90 - 200+,Supply Chain in Industrial B2B Practices
75,Procurement & Supply Chain,Industrial B2B Practices,Commercial_Head_Industrial_B2B_Practices,15+ years,80 - 150+,Commercial Head in Industrial B2B Practices
76,Procurement & Supply Chain,Industrial B2B Practices,Procurement_Industrial_B2B_Practices,3 - 5 years,14 - 30,Procurement in Industrial B2B Practices
77,Procurement & Supply Chain,Industrial B2B Practices,Procurement_Industrial_B2B_Practices,5 - 10 years,18 - 40,Procurement in Industrial B2B Practices
78,Procurement & Supply Chain,Industrial B2B Practices,Procurement_Industrial_B2B_Practices,10 - 15 years,45 - 90,Procurement in Industrial B2B Practices
79,Procurement & Supply Chain,Industrial B2B Practices,Procurement_Industrial_B2B_Practices,15+ years,80 - 150+,Procurement in Industrial B2B Practices
80,Procurement & Supply Chain,Industrial B2B Practices,Logistics_(Transportation_and_Warehousing)_Industrial_B2B_Practices,3 - 5 years,14 - 25,Logistics (Transportation & Warehousing) in Industrial B2B Practices
81,Procurement & Supply Chain,Industrial B2B Practices,Logistics_(Transportation_and_Warehousing)_Industrial_B2B_Practices,5 - 10 years,20 - 40,Logistics (Transportation & Warehousing) in Industrial B2B Practices
82,Procurement & Supply Chain,Industrial B2B Practices,Logistics_(Transportation_and_Warehousing)_Industrial_B2B_Practices,10 - 15 years,40 - 75,Logistics (Transportation & Warehousing) in Industrial B2B Practices
83,Procurement & Supply Chain,Industrial B2B Practices,Logistics_(Transportation_and_Warehousing)_Industrial_B2B_Practices,15+ years,75 - 150+,Logistics (Transportation & Warehousing) in Industrial B2B Practices
84,Procurement & Supply Chain,Industrial B2B Practices,Sourcing_Industrial_B2B_Practices,3 - 5 years,14 - 30,Sourcing in Industrial B2B Practices
85,Procurement & Supply Chain,Industrial B2B Practices,Sourcing_Industrial_B2B_Practices,5 - 10 years,20 - 45,Sourcing in Industrial B2B Practices
86,Procurement & Supply Chain,Industrial B2B Practices,Sourcing_Industrial_B2B_Practices,10 - 15 years,35 - 75,Sourcing in Industrial B2B Practices
87,Procurement & Supply Chain,Industrial B2B Practices,Sourcing_Industrial_B2B_Practices,15+ years,75 - 120,Sourcing in Industrial B2B Practices
88,Procurement & Supply Chain,Industrial B2B Practices,Supplier_Quality_Industrial_B2B_Practices,3 - 5 years,10 - 15,Supplier Quality in Industrial B2B Practices
89,Procurement & Supply Chain,Industrial B2B Practices,Supplier_Quality_Industrial_B2B_Practices,5 - 10 years,15 - 35,Supplier Quality in Industrial B2B Practices
90,Procurement & Supply Chain,Industrial B2B Practices,Supplier_Quality_Industrial_B2B_Practices,10 - 15 years,40 - 60,Supplier Quality in Industrial B2B Practices
91,Procurement & Supply Chain,Industrial B2B Practices,Supplier_Quality_Industrial_B2B_Practices,15+ years,65 - 90+,Supplier Quality in Industrial B2B Practices
92,Procurement & Supply Chain,Industrial B2B Practices,Sustainability_Industrial_B2B_Practices,3 - 5 years,15 - 30,Sustainability in Industrial B2B Practices
93,Procurement & Supply Chain,Industrial B2B Practices,Sustainability_Industrial_B2B_Practices,5 - 10 years,35 - 60,Sustainability in Industrial B2B Practices
94,Procurement & Supply Chain,Industrial B2B Practices,Sustainability_Industrial_B2B_Practices,10 - 15 years,60 - 90,Sustainability in Industrial B2B Practices
95,Procurement & Supply Chain,Industrial B2B Practices,Planning_Industrial_B2B_Practices,3 - 5 years,08 - 15,Planning in Industrial B2B Practices
96,Procurement & Supply Chain,Industrial B2B Practices,Planning_Industrial_B2B_Practices,5 - 10 years,15 - 35,Planning in Industrial B2B Practices
97,Procurement & Supply Chain,Industrial B2B Practices,Planning_Industrial_B2B_Practices,10 - 15 years,40 - 60,Planning in Industrial B2B Practices
98,Procurement & Supply Chain,Industrial B2B Practices,Planning_Industrial_B2B_Practices,15+ years,75 - 120+,Planning in Industrial B2B Practices
99,Procurement & Supply Chain,Industrial B2B Practices,Supply_Chain_Excellence_Industrial_B2B_Practices,3 - 5 years,15 - 30,Supply Chain Excellence in Industrial B2B Practices
100,Procurement & Supply Chain,Industrial B2B Practices,Supply_Chain_Excellence_Industrial_B2B_Practices,5 - 10 years,25 - 50,Supply Chain Excellence in Industrial B2B Practices
101,Procurement & Supply Chain,Industrial B2B Practices,Supply_Chain_Excellence_Industrial_B2B_Practices,10 - 15 years,50 - 75,Supply Chain Excellence in Industrial B2B Practices
102,Procurement & Supply Chain,Industrial B2B Practices,Supply_Chain_Excellence_Industrial_B2B_Practices,15+ years,80 - 120+,Supply Chain Excellence in Industrial B2B Practices
