,Category,sub1,sub2,Exp,Range,Role,Display Role
41,Finance & Accounting,Specialist,Manufacturing / Plant Controller,15+ years,35 - 85,Finance_and_Accounting_Specialist_Manufacturing___Plant_Controller,Specialist Manufacturing / Plant Controller
42,Finance & Accounting,Specialist,Financial Accounting / Consolidation / Statutory Reporting,3 - 5 years,12 - 20,Finance_and_Accounting_Specialist_Financial_Accounting___Consolidation___Statutory_Reporting,Specialist Financial Accounting / Consolidation / Statutory Reporting
43,Finance & Accounting,Specialist,Financial Accounting / Consolidation / Statutory Reporting,5 - 10 years,22 - 40,Finance_and_Accounting_Specialist_Financial_Accounting___Consolidation___Statutory_Reporting,Specialist Financial Accounting / Consolidation / Statutory Reporting
44,Finance & Accounting,Specialist,Financial Accounting / Consolidation / Statutory Reporting,10 - 15 years,35 - 70,Finance_and_Accounting_Specialist_Financial_Accounting___Consolidation___Statutory_Reporting,Specialist Financial Accounting / Consolidation / Statutory Reporting
45,Finance & Accounting,Specialist,Financial Accounting / Consolidation / Statutory Reporting,15+ years,50 - 110,Finance_and_Accounting_Specialist_Financial_Accounting___Consolidation___Statutory_Reporting,Specialist Financial Accounting / Consolidation / Statutory Reporting
46,Finance & Accounting,Specialist,Internal Audit / Controls / Risk,3 - 5 years,15 - 25,Finance_and_Accounting_Specialist_Internal_Audit___Controls___Risk,Specialist Internal Audit / Controls / Risk
47,Finance & Accounting,Specialist,Internal Audit / Controls / Risk,5 - 10 years,20 - 45,Finance_and_Accounting_Specialist_Internal_Audit___Controls___Risk,Specialist Internal Audit / Controls / Risk
48,Finance & Accounting,Specialist,Internal Audit / Controls / Risk,10 - 15 years,40 - 90,Finance_and_Accounting_Specialist_Internal_Audit___Controls___Risk,Specialist Internal Audit / Controls / Risk
49,Finance & Accounting,Specialist,Internal Audit / Controls / Risk,15+ years,50 - 250,Finance_and_Accounting_Specialist_Internal_Audit___Controls___Risk,Specialist Internal Audit / Controls / Risk
50,Finance & Accounting,Specialist,Tax - GST (Indirect),3 - 5 years,12 - 20,Finance_and_Accounting_Specialist_Tax_-_GST_(Indirect),Specialist Tax - GST (Indirect)
51,Finance & Accounting,Specialist,Tax - GST (Indirect),5 - 10 years,15 - 45,Finance_and_Accounting_Specialist_Tax_-_GST_(Indirect),Specialist Tax - GST (Indirect)
52,Finance & Accounting,Specialist,Tax - GST (Indirect),10 - 15 years,38 - 60,Finance_and_Accounting_Specialist_Tax_-_GST_(Indirect),Specialist Tax - GST (Indirect)
53,Finance & Accounting,Specialist,Tax - GST (Indirect),15+ years,45 - 90,Finance_and_Accounting_Specialist_Tax_-_GST_(Indirect),Specialist Tax - GST (Indirect)
54,Finance & Accounting,Specialist,Tax (Direct / International),3 - 5 years,12 - 20,Finance_and_Accounting_Specialist_Tax_(Direct___International),Specialist Tax (Direct / International)
55,Finance & Accounting,Specialist,Tax (Direct / International),5 - 10 years,20 - 45,Finance_and_Accounting_Specialist_Tax_(Direct___International),Specialist Tax (Direct / International)
56,Finance & Accounting,Specialist,Tax (Direct / International),10 - 15 years,40 - 75,Finance_and_Accounting_Specialist_Tax_(Direct___International),Specialist Tax (Direct / International)
57,Finance & Accounting,Specialist,Tax (Direct / International),15+ years,50 - 100,Finance_and_Accounting_Specialist_Tax_(Direct___International),Specialist Tax (Direct / International)
58,Finance & Accounting,Specialist,Mixed Tax,3 - 5 years,12 - 25,Finance_and_Accounting_Specialist_Mixed_Tax,Specialist Mixed Tax
59,Finance & Accounting,Specialist,Mixed Tax,5 - 10 years,20 - 55,Finance_and_Accounting_Specialist_Mixed_Tax,Specialist Mixed Tax
60,Finance & Accounting,Specialist,Mixed Tax,10 - 15 years,40 - 90,Finance_and_Accounting_Specialist_Mixed_Tax,Specialist Mixed Tax
61,Finance & Accounting,Specialist,Mixed Tax,15+ years,75 - 250,Finance_and_Accounting_Specialist_Mixed_Tax,Specialist Mixed Tax
62,Finance & Accounting,Shared Services,Head of Finance Shared Services,10 - 15 years,50 - 100,Finance_and_Accounting_Shared_Services_Head_of_Finance_Shared_Services,Shared Services Head of Finance Shared Services
63,Finance & Accounting,Shared Services,Head of Finance Shared Services,15+ years,75 - 250,Finance_and_Accounting_Shared_Services_Head_of_Finance_Shared_Services,Shared Services Head of Finance Shared Services
64,Finance & Accounting,Shared Services,Financial Accounting / Record to Report Ops,3 - 5 years,10 - 25,Finance_and_Accounting_Shared_Services_Financial_Accounting___Record_to_Report_Ops,Shared Services Financial Accounting / Record to Report Ops
65,Finance & Accounting,Shared Services,Financial Accounting / Record to Report Ops,5 - 10 years,15 - 50,Finance_and_Accounting_Shared_Services_Financial_Accounting___Record_to_Report_Ops,Shared Services Financial Accounting / Record to Report Ops
66,Finance & Accounting,Shared Services,Financial Accounting / Record to Report Ops,10 - 15 years,30 - 90,Finance_and_Accounting_Shared_Services_Financial_Accounting___Record_to_Report_Ops,Shared Services Financial Accounting / Record to Report Ops
67,Finance & Accounting,Shared Services,Financial Accounting / Record to Report Ops,15+ years,50 - 150,Finance_and_Accounting_Shared_Services_Financial_Accounting___Record_to_Report_Ops,Shared Services Financial Accounting / Record to Report Ops
68,Finance & Accounting,Shared Services,MIS / Decision Support / FP&A,3 - 5 years,10 - 25,Finance_and_Accounting_Shared_Services_MIS___Decision_Support___FPandA,Shared Services MIS / Decision Support / FP&A
69,Finance & Accounting,Shared Services,MIS / Decision Support / FP&A,5 - 10 years,15 - 40,Finance_and_Accounting_Shared_Services_MIS___Decision_Support___FPandA,Shared Services MIS / Decision Support / FP&A
70,Finance & Accounting,Shared Services,MIS / Decision Support / FP&A,10 - 15 years,30 - 75,Finance_and_Accounting_Shared_Services_MIS___Decision_Support___FPandA,Shared Services MIS / Decision Support / FP&A
71,Finance & Accounting,Shared Services,MIS / Decision Support / FP&A,15+ years,50 - 130,Finance_and_Accounting_Shared_Services_MIS___Decision_Support___FPandA,Shared Services MIS / Decision Support / FP&A
72,Finance & Accounting,Shared Services,Accounts Receivable / Order to Cash Ops,3 - 5 years,07 - 20,Finance_and_Accounting_Shared_Services_Accounts_Receivable___Order_to_Cash_Ops,Shared Services Accounts Receivable / Order to Cash Ops
73,Finance & Accounting,Shared Services,Accounts Receivable / Order to Cash Ops,5 - 10 years,12 - 40,Finance_and_Accounting_Shared_Services_Accounts_Receivable___Order_to_Cash_Ops,Shared Services Accounts Receivable / Order to Cash Ops
